,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
130,43,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
131,43,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
132,44,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
133,44,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
134,44,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
135,45,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
136,45,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
137,45,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
138,46,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
139,46,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
140,46,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
141,47,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
142,47,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
143,47,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
144,48,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
145,48,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
146,48,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
147,49,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
148,49,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
149,49,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
150,50,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
151,50,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
152,50,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
153,51,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
